indic_ed,geo\time	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 
G07_1,AL	: 	: 	: 	: 	: 	38.5 	29.2 	: 	: 	: 	: 	: 
G07_1,AT	69.3 	69.0 	69.4 	75.6 	76.8 	78.4 	72.8 	72.5 	73.3 	72.3 	72.3 	73.5 
G07_1,BE	85.4 	86.6 	88.0 	90.1 	88.8 	91.1 	89.4 	82.7 	88.2 	88.8 	89.9 	89.5 
G07_1,BG	46.1 	50.6 	67.7 	73.6 	74.9 d	75.6 	77.4 	77.7 	78.1 	77.5 	81.7 	80.6 
G07_1,CH	: 	80.4 	80.3 	80.5 	80.6 	80.5 	81.9 	83.2 	83.0 	83.9 	83.9 	82.8 
G07_1,CY	31.6 	23.2 	28.2 	30.1 	29.6 	30.1 	33.2 	32.8 	35.3 	33.6 	34.4 	34.7 
G07_1,CZ	85.2 	87.8 	88.8 	91.6 	89.0 	88.2 	88.4 	89.3 	88.0 	89.4 	90.3 	89.9 
G07_1,DE	82.6 	85.7 	86.9 	85.5 	85.5 	85.6 	84.8 	87.1 	85.7 	87.6 	90.1 	86.1 
G07_1,DK	80.5 	78.3 	80.9 	81.1 	81.4 	80.0 	80.0 	80.2 	80.5 	83.1 	84.8 	86.4 
G07_1,EA17	75.1 	: 	76.3 	76.5 	77.7 	78.9 	78.7 	78.9 	79.1 	80.3 	82.0 	81.4 
G07_1,EA18	75.1 	: 	76.4 	76.6 	77.8 	79.0 	78.8 	79.0 	79.2 	80.4 	82.1 	81.4 
G07_1,EE	75.6 	79.6 	82.9 	84.3 	85.9 	84.4 	86.6 	83.9 	89.3 	92.0 	88.9 	92.9 
G07_1,EL	64.9 	73.0 	72.0 	73.2 	77.4 	86.5 	62.3 	64.5 	: 	62.1 	67.9 	67.9 
G07_1,ES	68.8 	67.7 	68.2 d	68.4 	69.7 	69.8 	69.1 	68.9 	69.7 	74.8 	77.4 	78.4 
G07_1,EU27	72.9 	74.4 	74.4 	75.8 	77.1 	76.4 	77.0 	77.4 	77.9 d	79.2 	80.7 	80.5 
G07_1,EU28	: 	: 	74.3 	75.7 	77.0 	76.4 	77.0 	77.4 	77.8 	79.1 	80.7 	80.4 
G07_1,FI	88.5 	89.3 	91.9 	93.3 	93.6 	94.0 	93.8 	93.5 	93.2 	93.6 	93.8 	93.7 
G07_1,FR	80.4 	80.1 	79.6 	78.4 	77.5 	77.2 	76.7 	76.5 	76.3 	77.0 	76.7 	76.9 
G07_1,HR	: 	: 	62.0 	65.1 	66.5 	66.6 	67.3 	67.9 	71.9 	69.5 	69.8 	70.6 
G07_1,HU	73.4 	73.3 	75.9 	76.4 	79.3 	82.2 	83.0 	83.8 	83.0 	87.9 	89.2 	86.0 
G07_1,IE	81.3 	: 	: 	: d	: 	: 	91.7 	85.9 	88.4 	92.6 	96.3 	97.9 
G07_1,IS	67.8 	71.7 	73.1 	74.8 	75.1 	73.4 	74.6 	77.0 	75.3 	80.9 	81.8 	83.1 
G07_1,IT	69.6 	73.2 	76.4 	75.9 	77.4 	81.6 	79.9 	78.7 	78.4 	78.0 	80.4 	80.0 
G07_1,JP	: 	: 	: 	: 	: 	: u	: u	: 	: 	: 	: u	: u
G07_1,LI	: 	: 	89.9 	: u	92.8 	84.9 	81.6 	85.7 	85.7 	84.2 	87.2 	83.5 
G07_1,LT	85.3 	87.6 	89.7 	93.4 	95.7 	101.5 	100.5 	101.8 	100.1 	100.1 	100.1 	97.0 
G07_1,LU	71.7 d	70.3 d	71.4 d	69.0 d	66.6 d	70.1 	68.3 d	69.9 d	69.2 d	73.5 d	70.4 	71.4 
G07_1,LV	72.5 	77.4 	79.6 	84.3 	86.6 	88.0 	87.6 	82.5 	88.7 	93.3 	95.6 	94.4 
G07_1,MK	46.1 	48.6 	49.1 	50.1 	51.9 	52.5 	57.2 	59.5 	57.1 	57.3 	60.9 	62.6 
G07_1,MT	59.3 	56.6 	42.8 	39.8 	53.9 	42.5 	54.8 	66.6 	71.7 	68.0 	51.7 	40.7 
G07_1,NL	77.3 	76.8 	76.2 	78.3 	78.9 	81.9 	82.3 	82.7 	83.3 	84.6 	89.1 d	90.3 
G07_1,NO	86.1 	85.1 	85.8 	85.6 	85.5 	86.1 	88.0 	87.7 	87.0 	87.5 	88.0 	88.4 
G07_1,PL	82.0 	85.0 	85.4 	86.9 	92.9 	93.6 	93.9 	91.6 	92.2 	92.7 	93.2 	93.3 
G07_1,PT	65.8 	60.3 	62.2 	65.1 	66.9 	67.3 	65.3 	69.3 	74.3 	76.3 	77.5 	77.6 
G07_1,RO	57.5 	59.2 	60.6 	60.8 	61.5 	65.1 	72.5 	81.0 	87.8 	82.8 	80.2 	77.7 
G07_1,SE	94.7 	93.6 	94.5 	95.3 	95.7 	94.6 	94.8 	95.4 	94.8 	95.4 	95.8 	96.0 
G07_1,SI	81.4 	83.8 	85.7 	87.2 	89.4 	88.7 	89.4 	89.1 	89.7 	90.6 	92.1 	92.1 
G07_1,SK	56.6 	63.8 	72.3 	82.3 	81.9 	82.9 	84.0 	82.6 	83.6 	84.5 	84.5 	84.9 
G07_1,TR	16.2 	22.3 	23.4 	29.6 	31.7 	38.9 	40.8 	38.4 	48.5 	37.4 	: 	44.4 
G07_1,UK	56.3 d	57.1 d	54.2 d	61.5 d	61.8 d	48.8 d	50.9 	51.6 	52.0 	56.8 	60.1 	63.3 
G07_1,US	64.4 	63.9 	57.2 	57.0 	60.9 	: 	: 	: 	: 	: 	: 	70.7 
